TNCE  17.483333-062.983333 128
TNCA  12.500000-070.016667 10
TNCS  17.645000-063.220001 59
TNCM  18.033333-063.116667 10
TNCC  12.200000-068.966667 26
MACC  12.200000-068.966700 26
OMAM  24.248199 054.547699 75
OMAD  24.433333 054.466667 16
OMAA  24.433333 054.650000 52
OMAL  24.266667 055.600000 869
KQGX  24.250000 054.550000 75
OMAH  24.073999 052.463600 49
OMAR  24.780500 052.559898 16
OMAC  23.298100 054.221699 371
OMAB  23.616700 053.383300 308
OMAS  25.146200 052.873699 13
OMAF  24.378889 054.316113 16
OMAJ  24.187401 052.613998 43
OMAQ  24.930599 052.855099 23
OMAZ  24.862492 053.077141 13
OMDM  25.026800 055.366199 164
OMDB  25.250800 055.371600 26
OMFJ  25.100000 056.333333 92
OMRS  25.752777 055.959446 30
OMRK  25.616667 055.933333 102
OMSJ  25.333333 055.516667 115
OMUQ  25.577223 055.651112 23
SASO -23.150000-064.316667 1171
SASR -24.166667-062.900000 673
SASA -24.850000-065.483333 4062
SAST -22.650000-063.816667 1476
SAZA -36.750000-059.833300 433
SAZB -38.733333-062.166667 246
SAZJ -37.706100-059.791901 682
SAZI -36.200000-061.066667 308
SAZC -37.446098-061.889301 768
SADP -34.600000-058.600000 59
SAEZ -34.816667-058.533333 66
SADO -34.534400-058.671700 79
SAZD -36.350000-057.733333 33
SADD -34.483333-058.616667 16
SAAJ -34.550000-060.916667 269
SADL -34.966667-057.900000 69
SAEL -36.067200-059.104200 112
SAZM -37.933333-057.583333 59
SADJ -34.566700-058.783300 92
SADZ -34.726100-058.501100 10
SADR -34.684800-058.689100 49
SADG -34.805599-058.492001 30
SADM -34.683300-058.650000 98
SAET -35.971500-062.772400 302
SAZO -38.483300-058.833300 105
SAZX -35.399700-060.935800 246
SAZF -36.889999-060.216599 551
SAZP -35.866667-061.900000 285
SAAN -33.919000-060.648000 236
SAZE -37.600000-062.383333 997
SAAI -35.353298-057.290001 49
SADQ -34.706400-058.244400 7
SAAA -34.221400-059.442200 98
SADF -34.450000-058.583333 10
SADS -34.731100-058.597500 62
SAZL -36.542300-056.721800 10
SAZT -37.233333-059.250000 574
SAZH -38.333333-060.250000 377
SAZV -37.233300-057.033300 23
SABE -34.566667-058.416667 20
SABA -34.583333-058.483333 82
SAOU -33.266667-066.350000 2329
SAOS -32.383000-065.183000 2073
SAOR -33.733333-065.383333 1591
SAAC -31.300000-058.016667 115
SAAP -31.783333-060.483333 243
SAAM -33.583000-059.267000 13
SAAU -31.850000-059.083333 131
SACP -31.333333-066.600000 2159
SANO -29.233300-067.433300 3117
SACT -30.366700-066.300000 1499
SANL -29.383333-066.816667 1437
SACQ -25.750000-062.866700 722
SANH -27.473700-064.905502 269
SANE -27.766667-064.300000 650
SARS -26.816700-060.450000 302
SARD -27.465700-058.979000 174
SARE -27.450000-059.050000 174
SARV -27.591500-060.686400 246
SAMJ -30.250000-068.750000 3855
SANU -31.400000-068.416667 1959
SANC -28.600000-065.766667 1490
SANI -28.066667-067.566667 3940
SAEA -37.400799-064.612801 909
SAZG -35.700000-063.750000 456
SAZU -38.145103-065.922943 180
SAZR -36.566667-064.266667 623
SAMC -32.833000-070.083000 12562
SAMA -35.058899-067.692802 1490
SAMP -33.467000-067.550000 1654
SAMM -35.500000-069.583333 4678
SAME -32.833333-068.783333 2313
SAMQ -32.865299-068.871902 2694
SAML -32.854599-069.760498 7907
SAMR -34.583333-068.400000 2444
SAMS -33.766667-069.033333 3084
SAMI -33.083333-068.416667 2142
SAMU -32.600000-069.333333 6204
SAMH -35.146198-070.205399 2500
SATI -26.250000-053.650000 2674
SAZW -38.939701-069.264603 2133
SATD -26.400000-054.566700 689
SARI -25.733333-054.466667 886
SATO -27.518200-055.124199 1125
SARP -27.366667-055.966667 430
SATC -25.303600-057.734400 207
SARF -26.200000-058.233333 194
SATK -24.700000-060.583333 427
SAHE -37.851398-071.009201 5436
SAZY -40.083300-071.133300 2556
SAHC -37.444698-070.222504 2789
SAVA -40.033000-070.050000 1529
SAHS -37.390598-068.904198 1969
SAHZ -38.975498-070.113602 3330
SAVJ -41.320900-069.574898 2927
SAZK -41.163300-071.442703 3451
SAVB -41.966667-071.516667 1106
SAHR -39.000702-067.620499 853
SAVQ -41.243099-068.707802 2913
SAZN -38.950000-068.133333 886
SAZQ -39.016667-064.083333 259
SAVO -40.783333-065.100000 66
SAVN -40.751200-065.034300 85
SAZS -41.150000-071.166667 2772
SAVS -41.591702-065.339401 689
SAVV -40.850000-063.016667 20
SANW -29.883333-061.950000 285
SATR -29.200000-059.683000 164
SAAR -32.916667-060.783333 82
SAFR -31.282500-061.501700 325
SAAV -31.700000-060.816667 56
SANT -26.833000-065.200000 1385
SAWM -45.700000-070.250000 1788
SAVR -45.016700-070.816700 2287
SAVC -45.783333-067.500000 190
SAVD -42.033300-071.166700 2362
SAVE -42.933333-071.150000 2621
SAWS -44.050000-070.433300 2362
SAVP -43.816667-068.883333 1509
SAVY -42.767000-065.099000 446
SAVM -45.567000-069.067000 2789
SAVT -43.200000-065.266667 128
SAWE -53.800000-067.750000 43
SAWL -54.521900-067.198998 89
SAWO -54.822700-068.304300 20
SAWH -54.800000-068.316667 92
SARG -27.755301-057.632999 249
SARC -27.450000-058.766667 203
SATU -29.783333-057.983333 262
SATG -29.100000-059.217000 125
SARO -27.526100-056.633301 62
SARM -30.266667-057.650000 174
SARL -29.683333-057.150000 226
SATM -29.216700-058.083300 351
SACN -30.967920-064.277740 676
SACA -31.441900-064.258202 1594
SACE -31.450000-064.266667 1647
SACO -31.316667-064.216667 1588
SACD -31.487499-064.141403 1417
SAOE -32.173302-064.088303 1247
SAOL -34.133333-063.366667 446
SAOM -32.700000-062.150000 361
SACI -31.666667-063.883333 1109
SAOC -33.116667-064.233333 1378
SACS -30.865200-064.978996 2014
SAOD -31.950000-065.133333 1841
SACM -30.700600-064.043098 1759
SACV -29.900000-063.683333 1119
SASJ -24.383333-065.083333 3022
SASQ -22.100000-065.600000 11358
SASL -24.019199-066.797203 12999
SAWC -50.267000-072.050000 686
SAWT -51.600000-072.216700 896
SAWR -48.783333-070.166667 1175
SAWA -50.333300-072.300000 722
SAVH -46.538300-068.965302 1083
SAWP -46.516667-071.016667 1407
SAWD -47.733333-065.916667 266
SAWG -51.616667-069.283333 66
SAWJ -49.316667-067.750000 190
SAWU -50.016700-068.566700 364
UDSG  40.750000 043.850000 5000
UDYE  40.122101 044.465000 2949
UDLS  41.048500 044.337200 4836
UGEJ  39.824001 045.674000 6709
UGEL  40.733300 043.850000 5000
UGEW  40.116700 044.466700 2956
UGEE  40.200000 044.500000 2838
UDYZ  40.150000 044.400000 2838
NSFQ -14.217200-169.425003 112
NSAS -14.184400-169.669998 10
NSTU -14.333333-170.716667 20
SAYE -63.400002 056.983299 75
SCRM -62.191000-058.987000 148
SAYJ -62.233333-058.633333 13
SAWB -64.233333-056.716667 682
